Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
423601,1202,949,78.95174709,18,1.49750416,0,0,144,11.98003328,0,0,48,3.993344426,43,3.577371048
423602,2182,1206,55.27039413,61,2.795600367,38,1.74152154,675,30.93492209,55,2.520623281,11,0.5041246563,136,6.232813932
423700,1324,965,72.88519637,38,2.870090634,30,2.265861027,205,15.48338369,0,0,19,1.435045317,67,5.060422961
423800,1250,1125,90,10,0.8,0,0,102,8.16,0,0,3,0.24,10,0.8
423901,897,575,64.1025641,126,14.04682274,0,0,89,9.921962096,0,0,38,4.236343367,69,7.692307692
423902,713,599,84.0112202,4,0.5610098177,5,0.7012622721,62,8.695652174,0,0,18,2.52454418,25,3.50631136
424001,1481,754,50.91154625,427,28.83187036,0,0,99,6.684672519,0,0,156,10.53342336,45,3.038487508
424002,959,386,40.25026069,371,38.68613139,6,0.6256517205,90,9.384775808,0,0,61,6.360792492,45,4.692387904
425101,1208,725,60.01655629,104,8.609271523,0,0,299,24.75165563,9,0.7450331126,0,0,71,5.877483444
425102,1946,735,37.76978417,184,9.455292909,6,0.3083247688,850,43.67934224,17,0.8735868448,75,3.854059609,79,4.059609455
425103,1378,740,53.70101597,149,10.81277213,0,0,396,28.73730044,0,0,31,2.249637155,62,4.499274311
425104,2008,1012,50.39840637,493,24.55179283,21,1.045816733,334,16.63346614,0,0,42,2.091633466,106,5.278884462
426100,2210,1814,82.08144796,31,1.402714932,0,0,356,16.10859729,0,0,9,0.407239819,0,0
426200,1709,1350,78.99356349,12,0.7021650088,0,0,300,17.55412522,0,0,8,0.4681100059,39,2.282036279
427100,1441,1203,83.48369188,23,1.59611381,0,0,179,12.42192922,4,0.2775850104,21,1.457321305,11,0.7633587786
427200,1626,935,57.50307503,120,7.380073801,32,1.96801968,274,16.85116851,23,1.414514145,154,9.471094711,88,5.412054121
427300,1850,993,53.67567568,106,5.72972973,4,0.2162162162,607,32.81081081,9,0.4864864865,53,2.864864865,78,4.216216216
427600,1853,592,31.94819212,417,22.50404749,5,0.2698327037,586,31.62439288,36,1.942795467,70,3.777657852,147,7.933081489
427700,2251,1499,66.5926255,164,7.285650822,0,0,273,12.12794314,0,0,177,7.863171924,138,6.130608618
427800,2036,1266,62.18074656,81,3.978388998,0,0,460,22.59332024,0,0,92,4.518664047,137,6.728880157
427900,2104,1262,59.98098859,252,11.97718631,12,0.5703422053,357,16.96768061,0,0,108,5.133079848,113,5.370722433
428000,1350,663,49.11111111,179,13.25925926,0,0,397,29.40740741,0,0,62,4.592592593,49,3.62962963
428100,1982,1410,71.14026236,89,4.490413724,6,0.3027245207,314,15.84258325,19,0.9586276488,85,4.288597376,59,2.97679112
428200,2680,1844,68.80597015,155,5.78358209,0,0,498,18.58208955,0,0,66,2.462686567,117,4.365671642
428301,2513,1163,46.27934739,68,2.705929168,10,0.39793076,1166,46.39872662,0,0,48,1.910067648,58,2.307998408
