Tract,Pct_Married,Pct_Widowed,Pct_Divorced,Pct_Separated,Pct_Never_Married
191201,36.9,7.3,10.2,3.9,41.8
191203,30.8,3.6,6.8,4.4,54.4
191204,39.2,2.7,7.4,4.6,46
191301,31.8,5.1,5.1,1.9,56.2
191302,27.4,2.6,9.4,1.9,58.7
191410,29.1,3.8,7.5,2.1,57.5
191420,30.6,2.5,7.7,4.3,54.8
191500,37.2,7.2,6.7,3.2,45.6
191610,27.5,4.1,7.8,2.3,58.4
191620,26.4,8.7,9.2,3.5,52.2
191710,39.9,3.9,4,2.2,50
191720,33.6,3.9,5.8,3.7,53
191810,31.6,1.6,4.4,1.2,61.2
191820,26.8,2.6,7.8,0.8,62
191901,19.6,4.1,9.5,2.3,64.4
191902,37.8,5,7.5,1.4,48.3
192001,31.5,3.1,14.4,3.7,47.2
192002,28.8,2.4,12.1,3.9,52.8
192300,40.1,2.9,12.1,0.7,44.1
192410,40.1,5.4,6.7,1.1,46.7
192420,39.1,1.3,6,1.4,52.2
192510,44.4,6.5,7.4,3.1,38.6
192520,36.3,2.6,5.5,3.7,52.1
192610,31.3,1.4,8.5,2.7,56.2
192620,43.2,1.3,9.8,1.5,44.1
192700,21.3,3.7,5.9,4.4,64.7
194101,35.5,2.6,9.9,1.5,50.5
194102,52.2,3.9,11.5,0.6,31.9
194200,49.4,4.4,8.6,2.2,35.5
194300,38.5,5,14.2,3.2,39.2
194401,35.3,3.8,4.9,2.1,53.9
194402,31.6,1.5,5.5,0,61.5
194500,38.1,5.3,10,2.6,44
195100,48.1,4.1,5.9,1.9,39.9
195201,30.4,3.2,8.5,0.8,57
195202,50.6,2.5,6.5,1.2,39.2
195300,31.8,5.1,11.2,2.9,49
195400,29.2,3.1,9.1,1.1,57.5
195500,33.7,5.4,10.3,1.3,49.2
195600,37.7,3.1,7.1,4.3,48
195710,26.1,3.8,8.4,4.3,57.4
195720,25.7,4.4,4.9,5.3,59.6
195802,37,5.6,5.9,1.7,49.9
195803,27.5,3.4,7.3,1.4,60.3
195804,25.3,3.4,8.8,3.6,58.9
