Tract,Pct_Male_Ins,Pct_Female_Ins
346102,94.06332454,100
346201,100,100
346203,100,100
346204,100,100
347000,100,100
348000,100,100
349000,100,98.38709677
350000,88.33992095,100
351101,100,100
351102,100,100
351103,100,100
351200,100,100
352101,98.3974359,95.89041096
352102,99.16666667,100
352201,100,100
352202,90.625,100
353001,100,100
353002,97.13541667,95.53191489
354001,100,100
354002,100,96.24838292
355107,92.55121043,96.38554217
355108,100,100
355109,96.65605096,97.2
355110,85.28037383,89.38679245
355111,90.98360656,95.43859649
355112,95.62211982,85.43209877
355113,100,100
355114,98.87196842,100
355115,97.16024341,98.91435464
355116,98.92141757,100
355117,100,98.73203719
355200,91.46722164,89.89298454
355301,100,100
355302,95.75596817,94.85530547
355304,98.21428571,97.92207792
355306,100,100
356001,100,100
356002,100,100
357000,95,100
358000,96.18473896,98.1512605
359102,96.1852861,93.73297003
359103,100,100
359104,100,100
359105,100,100
359202,100,100
359203,86.33257403,92.56756757
359204,100,100
360101,98.03149606,100
360102,91.83673469,69.09090909
360200,93.04029304,100
361000,97.21362229,97.53363229
362000,100,100
363000,100,95.60117302
364002,91.61676647,82.48587571
365002,80.71625344,95.15418502
365003,73.64864865,91.58653846
366001,92.11136891,97.48283753
366002,88.1294964,96.17304493
367100,100,91.44144144
367200,100,98.35390947
368001,84.97576737,80.87719298
368002,78.53107345,98.55491329
369001,100,97.06257982
369002,99.55752212,90.45643154
370000,88.11881188,100
371000,94.1011236,96.99812383
372000,87.37541528,94.85714286
373000,94.27966102,89.33333333
374000,100,100
375000,87.3857404,88.5
376000,92.25225225,95.76427256
377000,95.6122449,93.4169279
